TFN,H11105-2960D-01,10.32.17.93,Version 12.2(58)SE2
TFN,H11202-4321D-01,10.32.17.62,Version 15.5(3)S4b
TFN,H11202-2924D-01,10.32.17.61,Version 12.0(5.3)WC(1)
TFN,H11402-4321D-01,10.32.13.78,Version 15.5(3)S4b
TFN,H11402-2924D-01,10.32.13.77,Version 12.0(5.2)XU
TFN,H11403-4321D-01,10.32.13.94,Version 15.5(3)S4b
TFN,H11403-2924D-01,10.32.13.93,Version 12.0(5.2)XU
TFN,H11410-4321D-01,10.32.13.174,Version 15.5(3)S4b
TFN,H11410-2950D-01,10.32.13.173,Version 12.1(22)EA6
TFN,H11601-4321D-01,10.0.9.62,Version 15.5(3)S4b
TFN,H11601-2924D-01,10.0.9.61,Version 12.0(5.3)WC(1)
TFN,H11603-4321D-01,10.0.9.94,Version 15.5(3)S4b
TFN,H11603-2924D-01,10.0.9.93,Version 12.0(5.3)WC(1)
TFN,H20002-4321D-01,10.32.15.78,Version 15.5(3)S4b
TFN,H20002-2950D-01,10.32.15.66,Version 12.1(22)EA13
TFN,H20002-2960D-02,10.32.15.77,Version 12.2(58)SE2
TFN,H20402-2620D-01,10.32.15.30,Version 12.1(5)T12
TFN,H20402-2960D-01,10.32.15.29,Version 12.2(25)SEE2
TFN,H20803-1941D-01,10.32.19.190,Version 15.1(2)T5
TFN,H20803-2960D-01,10.32.19.189,Version 12.2(55)SE7
TFN,H20902-1941D-01,10.32.17.158,Version 15.1(2)T5
TFN,H20902-2960D-01,10.32.17.157,Version 12.2(55)SE7
TFN,H22102-4321D-01,10.32.15.46,Version 15.5(3)S4b  
TFN,H22102-4321D-02,10.32.18.122,Version 15.5(3)S4b
TFN,H22102-2924D-01,10.32.15.45,Version 12.0(5.3)WC(1)
TFN,H22103-4321D-01,10.32.15.62,Version 15.5(3)S4b  
TFN,H22103-2924D-01,10.32.15.61,Version 12.0(5.3)WC(1)
TFN,H26501-4321D-01,10.0.17.46,Version 15.5(3)S4b
TFN,H26501-2924D-01,10.0.17.45,Version 12.0(5)WC17
TFN,H30001-4321D-01,10.32.21.14,Version 15.5(3)S4b
TFN,H30001-2924D-01,10.32.21.13,Version 12.0(5.2)XU
TFN,H30007-4321D-01,10.32.21.206,Version 15.5(3)S4b
TFN,H30007-2960D-01,10.32.21.205,Version 12.2(44)SE6
TFN,H30009-4321D-01,10.32.27.62,Version 15.5(3)S4b
TFN,H30009-2960D-01,10.32.27.61,Version 12.2(35)SE5
TFN,H30010-1941D-01,10.32.27.126,Version 15.1(2)T5
TFN,H30010-2924D-01,10.32.27.125,Version 12.0(5.2)XU
TFN,H30010-2960D-02,10.32.27.124,Version 12.2(58)SE2
TFN,H30201-4321D-01,10.32.21.126,Version 15.5(3)S4b
TFN,H30201-2924D-01,10.32.21.125,Version 12.0(5.3)WC(1)
TFN,H30201-2960D-02,10.32.21.115,Version 12.2(58)SE2
TFN,H30401-1941D-01,10.32.27.94,Version 15.1(2)T5
TFN,H30401-2924D-01,10.32.27.93,Version 12.0(5.3)WC(1)
TFN,H30701-4321D-01,10.32.21.237,Version 15.5(3)S4b
TFN,H30701-2924D-01,10.32.27.29,Version 12.0(5.3)WC(1)
TFN,H32002-4321D-01,10.32.23.222,Version 15.5(3)S4b
TFN,H32002-2960D-01,10.32.23.221,Version 12.2(58)SE2
TFN,H32502-1941D-01,10.32.16.158,Version 15.1(2)T5
TFN,H32502-2924D-01,10.32.16.157,Version 12.0(5)WC17
TFN,H32401-4321D-01,10.32.16.94,Version 15.5(3)S4b
TFN,H32401-2924D-01,10.32.16.93,Version 12.0(5)WC17
TFN,H32601-4321D-01,10.32.23.142,Version 15.5(3)S4b
TFN,H32601-2960D-01,10.32.23.141,Version 12.2(44)SE6
TFN,H32801-1941D-01,10.32.16.126,Version 15.1(2)T5
TFN,H32801-2924D-01,10.32.16.125,Version 12.0(5)WC17
TFN,H33001-4321D-01,10.32.23.126,Version 15.5(3)S4b
TFN,H33001-2924D-01,10.32.23.125,Version 12.0(5.3)WC(1)
TFN,H33001-2924D-02,10.32.23.124,Version 12.0(5.3)WC(1)
TFN,H33004-4321D-01,10.32.23.30,Version 15.5(3)S4b
TFN,H33004-2924D-01,10.32.23.29,Version 12.0(5)WC17
TFN,H33005-1941D-01,10.32.16.62,Version 15.1(2)T5
TFN,H33005-3550D-01,10.32.16.61,Version 12.1(11)EA1
TFN,H33301-4321D-01,10.32.23.14,Version 15.5(3)S4b
TFN,H33301-2924D-01,10.32.23.13,Version 12.0(5.3)WC(1)
TFN,H33403-4321D-01,10.32.16.174,Version 15.5(3)S4b
TFN,H33403-2960D-01,10.32.16.173,Version 12.0(5)WC17
TFN,H33802-4321D-01,10.32.16.253,Version 15.5(3)S4b
TFN,H33802-2960D-01,10.32.16.29,Version 12.2(58)SE2
TFN,H30011-4321D-01,10.32.27.174,Version 15.5(3)S4b
TFN,H30011-2960D-01,10.32.27.173,Version 12.2(53)SE2
TFN,H31001-4321D-01,10.32.27.190,Version 15.5(3)S4b
TFN,H31001-2960D-01,10.32.27.189,Version 12.2(53)SE2
TFN,C23504-9300D-01,10.0.10.254,Version 16.12.03a
TFN,C23504-9300D-01,10.0.10.254,Version 16.12.03a
TFN,C23504-3925D-01,10.0.255.13,Version 15.2(4)M6a
TFN,C23504-3925D-02,10.0.1.252,Version 15.2(4)M6a
TFN,C23504-2610S-01,10.0.1.251,Version 12.2(46a)
TFN,C23504-2610S-02,10.0.1.145,Version 12.2(15)T5
TFN,C23504-3560D-01,10.0.1.202,Version 15.0(2)SE4
TFN,C23504-2960D-01,10.0.1.249,Version 12.2(58)SE2
TFN,C23504-2960D-02,10.0.1.248,Version 12.2(58)SE2
TFN,C23504-2960D-03,10.0.1.247,Version 12.2(58)SE2
TFN,C23504-2960D-04,10.0.1.246,Version 12.2(58)SE2
TFN,C23504-2960D-05,10.0.1.243,Version 12.2(58)SE2
TFN,C23504-2960D-06,10.0.1.244,Version 12.2(58)SE2
TFN,C23504-2960D-07,10.0.1.240,Version 12.2(58)SE2
TFN,C23504-2950D-08,10.0.8.250,Version 12.1(19)EA1a
TFN,C23504-2960D-09,10.0.1.236,Version 12.2(58)SE2
TFN,C23504-2960D-10,10.0.1.245,Version 12.2(58)SE2
TFN,C23504-2960D-11,10.0.1.233,Version 12.2(44)SE6
TFN,C23504-2960D-12,10.0.1.231,Version 12.2(44)SE6
TFN,C23504-3524D-13,10.0.8.1,Version 12.0(5)XU
TFN,C23504-3550D-14,10.0.8.2,Version 12.0(5)XU
TFN,C23504-2960D-13,10.0.8.249,Version 12.2(58)SE2
TFN,C23504-2960D-14,10.0.8.248,Version 12.2(53)SE2
TFN,A23504-4321D-01,10.0.250.150,Version 15.5(3)S4b
TFN,A23504-4321D-02,10.0.250.154,Version 15.5(3)S4b
TFN,A23504-2960D-01,10.0.2.253,Version 12.2(58)SE2
TFN,A23504-2960D-02,10.0.2.252,Version 12.2(44)SE6
TFN,A23504-2950D-03,10.0.2.249,Version 12.1(22)EA13
TFN,A23504-2960D-04,10.0.2.250,Version 12.2(58)SE2
TFN,A23504-2960D-05,10.0.2.251,Version 12.2(58)SE2
TFN,A23504-2960D-06,10.0.2.248,Version 12.2(58)SE2
TFN,A23504-3845D-01,10.0.3.218,Version 12.4(25g)
TFN,A24103-4321D-01,10.0.250.126 ,Version 15.5(3)S4b
TFN,A24103-4321D-02,10.0.250.130,Version 15.5(3)S4b
TFN,A24103-2924D-01,10.32.24.253,Version 12.0(5.3)WC(1)
TFN,A24103-2960D-02,10.32.24.252,Version 12.2(55)SE3
TFN,A24102-4321D-01,10.0.22.254,Version 15.5(3)S4b
TFN,A24102-4321D-02,10.0.11.242,Version 15.5(3)S4b
TFN,A24102-2960D-01,10.0.22.253,Version 12.2(58)SE2
TFN,A23501-4321D-01,10.0.250.4,Version 15.5(3)S4b
TFN,A23501-4321D-02,10.0.4.251,Version 15.5(3)S4b
TFN,A23501-2924D-01,10.0.4.253,Version 12.0(5.2)XU
TFN,A23103-4321D-01,10.0.9.174,Version 15.5(3)S4b
TFN,A23103-4321D-02,,Version 15.5(3)S4b
TFN,A23103-2960-01,10.0.9.176,Version 12.2(35)SE5
TFN,H22003-4321D-01,10.0.5.14,Version 15.5(3)S4b
TFN,H22003-2924D-01,10.0.5.13,Version 12.0(5.2)XU
TFN,H22004-4321D-01,10.0.5.78,Version 15.5(3)S4b
TFN,H22004-2924D-01,10.0.5.77,Version 12.0(5.3)WC(1)
TFN,H22008-4321D-01,10.0.5.94,Version 15.5(3)S4b
TFN,H22008-2950D-01,10.0.5.93,Version 12.1(22)EA4
TFN,H23103-4321D-01,10.0.9.14,Version 15.5(3)S4b
